"name","href","address"
"Westway Diner","https://www.delivery.com/cities/nyc/categories/restaurant/westway-diner","614 9th Ave (Between 43rd Street & 44th Street)"
"Bread Factory","https://www.delivery.com/cities/nyc/categories/restaurant/bread-factory","600 9th Ave (Between 42nd & 43rd)"
"Room Service Thai","https://www.delivery.com/cities/nyc/categories/restaurant/room-service-thai","690 9th Ave (Between 47th & 48th Street)"
"A1 Ocha Sushi","https://www.delivery.com/cities/nyc/categories/restaurant/ocha","350 W 46th St (between 8th & 9th Avenue)"
"AA Jing","https://www.delivery.com/cities/nyc/categories/restaurant/jing","689 9th Ave (Between 47th & 48th Street)"
"42nd Street Diner & Pizza","https://www.delivery.com/cities/nyc/categories/restaurant/42nd-street-diner-pizza","647 W 42nd St (11th ave & 12th ave)"
"Qi","https://www.delivery.com/cities/nyc/categories/restaurant/qi","675 8th Ave (West 42nd St & West 43rd St)"
"Happy Family","https://www.delivery.com/cities/nyc/categories/restaurant/happy-family","500 W 43rd St (on 10th Avenue)"
"Galaxy Diner","https://www.delivery.com/cities/nyc/categories/restaurant/galaxy-diner","665 9th Ave (Corner of West 46th St.)"
"Taki Sushi","https://www.delivery.com/cities/nyc/categories/restaurant/taki-sushi","60 W 48th St (Between 5th & 6th Ave.)"
"Wendy's","https://www.delivery.com/cities/nyc/categories/restaurant/wendys","1211 Avenue of the Americas (Between 47th & 48th Street)"
"Minar Indian Restaurant","https://www.delivery.com/cities/nyc/categories/restaurant/minar-indian-restaurant-w-46th-st","138 W 46th St (between 6th & 7th avenue)"
"Abace Sushi","https://www.delivery.com/cities/nyc/categories/restaurant/abace-sushi","695 9th Ave (w 48th)"
"Two Boots","https://www.delivery.com/cities/nyc/categories/restaurant/two-boots","625 9th Ave (Between 44th & 45th)"
"Green Symphony","https://www.delivery.com/cities/nyc/categories/restaurant/green-symphony","255 W 43rd St (7th Ave & 8th Ave)"
"Al Horno Lean Mexican Kitchen","https://www.delivery.com/cities/nyc/categories/restaurant/al-horno-lean-mexican-kitchen","417 W 47th St (9th Ave & 10th Ave)"
"Pinkberry (Hells Kitchen)","https://www.delivery.com/cities/nyc/categories/restaurant/pinkberry-9th-ave","596 9th Ave (Between 42nd St & 43rd St)"
"Don Giovanni Ristorante","https://www.delivery.com/cities/nyc/categories/restaurant/don-giovanni-ristorante-w-44th-st","358 W 44th St (9th Avenue)"
"Blossom Du Jour","https://www.delivery.com/cities/nyc/categories/restaurant/blossom-du-jour","617 9th Ave (Between W 43th and W 44th Street)"
"Havana Central (Times Square)","https://www.delivery.com/cities/nyc/categories/restaurant/havana-central-times-square-","151 W 46th St (Between 6th & 7th Ave.)"
"Kosher Deluxe","https://www.delivery.com/cities/nyc/categories/restaurant/kosher-deluxe","10 W 46th St (Between 5th Ave & 6th Ave)"
"Le Mirage Cafe","https://www.delivery.com/cities/nyc/categories/restaurant/le-mirage-cafe","20 W 43rd St (Between 5th Ave. & Avenue Of The Americas)"
"Europan Cafe","https://www.delivery.com/cities/nyc/categories/restaurant/europan-cafe","672 8th Ave (Between 42nd & 43rd)"
"Turco Mediterranean Grill","https://www.delivery.com/cities/nyc/categories/restaurant/turco-mediterranean-grill","604 9th Ave (Between 43rd and 44th)"
"Claudio Pizzeria Ristorante","https://www.delivery.com/cities/nyc/categories/restaurant/claudio-pizzeria-ristorante","598 10th Ave (43rd st)"
"@Nine","https://www.delivery.com/cities/nyc/categories/restaurant/-nine","592 9th Ave (Between W 42nd and W 43rd St)"
"McDonald's (#16658)","https://www.delivery.com/cities/nyc/categories/restaurant/mcdonalds-16658-","688 8th Ave (Between W 43rd Ave & W 44th Ave)"
"Danielas Gourmet Trattoria","https://www.delivery.com/cities/nyc/categories/restaurant/danielas-gourmet-trattoria","728 8th Ave (Between 45th & 46th Street)"
"Ranch 1","https://www.delivery.com/cities/nyc/categories/restaurant/ranch-1-w-46th-st","5 W 46th St (Between 5th & 6th Aves)"
