name,href,address,city,state
East Palace,http://www.seamless.com/food-delivery/east-palace-new-york-city.11404.r,819 2nd Ave,New York,NY
Stella's Pizza,http://www.seamless.com/food-delivery/stellas-pizza-manhattan-consumer.3638.r,110 Ninth Ave,New York,NY
Burgers & Cupcakes,http://www.seamless.com/food-delivery/burgers-cupcakes-new-york-city.5845.r,458 9th Ave,New York,NY
Overlook,http://www.seamless.com/food-delivery/overlook-new-york-city.11446.r,225 East 44th St.,New York,NY
Empire Szechuan (Columbus),http://www.seamless.com/food-delivery/empire-szechuan-columbus-new-york-city.1915.r,193 Columbus,NY,NY
Red 58,http://www.seamless.com/food-delivery/red-58-new-york-city.18642.r,158 West 58th Street,NY,NY
Bella Napoli (30th/Madison),http://www.seamless.com/food-delivery/bella-napoli-30thmadison-new-york-city.3491.r,130 Madison Ave,New York,NY
Va Presto by Scotto (42nd St),http://www.seamless.com/food-delivery/va-presto-by-scotto-42nd-st-new-york-city.38830.r,220 E 42nd Street,New York,NY
Bread & Butter (44th St) (Formerly Green Cafe (44th)),http://www.seamless.com/food-delivery/bread-butter-44th-st-formerly-green-cafe-44th-new-york-city.5403.r,14 E 44th St.,New York,NY
Green Cafe (6th Ave),http://www.seamless.com/food-delivery/green-cafe-6th-ave-manhattan-consumer.6593.r,599 6th Ave,New York,NY
Green Cafe (E. 58th),http://www.seamless.com/food-delivery/green-cafe-e-58th-new-york-city.8700.r,36 East 58th St,New York,NY
Darbar,http://www.seamless.com/food-delivery/darbar-new-york-city.1744.r,152 E. 46th,New York,NY
China Fun - 2nd Ave,http://www.seamless.com/food-delivery/china-fun-2nd-ave-new-york-city.752.r,1221 Second Avenue,New York,NY
Green Cafe,http://www.seamless.com/food-delivery/green-cafe-new-york-city.2249.r,21 West 58th Street,New York,NY
Tal Bagels (Broadway),http://www.seamless.com/food-delivery/tal-bagels-broadway-new-york-city.12702.r,2446 Broadway,New York,NY
Shinju Japanese,http://www.seamless.com/food-delivery/shinju-japanese-new-york-city.3789.r,164 Pearl Street,NY,NY
Pizza Mezzaluna,http://www.seamless.com/food-delivery/pizza-mezzaluna-manhattan-consumer.4816.r,146 W. Houston St.,New York,NY
New Xe Lua Vietnamese Restaurant,http://www.seamless.com/food-delivery/new-xe-lua-vietnamese-restaurant-new-york-city.10760.r,86 Mulberry Street,New York,NY
QI Restaurant,http://www.seamless.com/food-delivery/qi-restaurant-new-york-city.7509.r,31 W. 14th Street,New York,NY
Pizza Shack,http://www.seamless.com/food-delivery/pizza-shack-new-york-city.11454.r,525 Grand St.,New York,NY
Tasty Cafe (30th),http://www.seamless.com/food-delivery/tasty-cafe-30th-new-york-city.9396.r,126 Madison Ave.,New York,NY
Mansion Restaurant,http://www.seamless.com/food-delivery/mansion-restaurant-new-york-city.17132.r,1634 York Ave.,New York,NY
Belmora Pizza & Restaurant,http://www.seamless.com/food-delivery/belmora-pizza-restaurant-new-york-city.3262.r,139 East 57th Street,New York,NY
Curry Dream,http://www.seamless.com/food-delivery/curry-dream-new-york-city.2533.r,66 West 39th Street,New York,NY
Subway (39th St),http://www.seamless.com/food-delivery/subway-39th-st-new-york-city.1397.r,32 West 39th Street,New York,NY
Fusha,http://www.seamless.com/food-delivery/fusha-new-york-city.1721.r,1065 1st Avenue,NY,NY
Qi (43rd St),http://www.seamless.com/food-delivery/qi-43rd-st-new-york-city.19013.r,675 8th Avenue,New York,NY
SUteiShi,http://www.seamless.com/food-delivery/suteishi-new-york-city.3711.r,24 Peck Slip,NY,NY
Gee Whiz Diner,http://www.seamless.com/food-delivery/gee-whiz-diner-new-york-city.951.r,295 Greenwich Street,New York,NY
Ponty Bistro,http://www.seamless.com/food-delivery/ponty-bistro-new-york-city.11209.r,218 3rd Ave,New York,NY
Silver Spurs,http://www.seamless.com/food-delivery/silver-spurs-new-york-city.987.r,490 Laguardia Place,New York,NY
Theatre Row Diner,http://www.seamless.com/food-delivery/theatre-row-diner-new-york-city.16581.r,424 West 42nd St,New York,NY
Artichoke Pizza,http://www.seamless.com/food-delivery/artichoke-pizza-new-york-city.17235.r,114 10th Ave,New York,NY
Coppelia,http://www.seamless.com/food-delivery/coppelia-new-york-city.18242.r,207 W 14th St,NY,NY
Lily's,http://www.seamless.com/food-delivery/lilys-new-york-city.4004.r,31 Oliver St.,NY,NY
Salaam Bombay,http://www.seamless.com/food-delivery/salaam-bombay-new-york-city.691.r,319 Greenwich Avenue,New York,NY
Taco House,http://www.seamless.com/food-delivery/taco-house-new-york-city.4738.r,178 Church St.,New York,NY
Fresco Tortillas (9th Ave),http://www.seamless.com/food-delivery/fresco-tortillas-9th-ave-new-york-city.11468.r,536 9th Ave,New York,NY
Amelia's Diner,http://www.seamless.com/food-delivery/amelias-diner-new-york-city.12704.r,110 Varick St.,New York,NY
Cafe Amore's Pizzeria Ristorante (Chambers Street),http://www.seamless.com/food-delivery/cafe-amores-pizzeria-ristorante-chambers-street-new-york-city.18790.r,147 Chambers St.,New York,NY
Chelsea Square Restaurant,http://www.seamless.com/food-delivery/chelsea-square-restaurant-new-york-city.16733.r,368 W 23rd St,New York,NY
Diablo Royale,http://www.seamless.com/food-delivery/diablo-royale-new-york-city.19098.r,189 W 10th St,New York,NY
Harry's Cafe & Steak,http://www.seamless.com/food-delivery/harrys-cafe-steak-new-york-city.3756.r,1 Hanover Square,New York,NY
Hudson View Restaurant,http://www.seamless.com/food-delivery/hudson-view-restaurant-new-york-city.18162.r,770 W 181st St.,New York,NY
Pick a Bagel (8th Ave),http://www.seamless.com/food-delivery/pick-a-bagel-8th-ave-new-york-city.1494.r,891 Eighth Ave,New York,NY
Eighteen Restaurant,http://www.seamless.com/food-delivery/eighteen-restaurant-new-york-city.7274.r,240 East 81st Street,New York,NY
BLT Fish Shack,http://www.seamless.com/food-delivery/blt-fish-shack-new-york-city.19913.r,21 W 17th Street,NY,NY
Casa Nonna,http://www.seamless.com/food-delivery/casa-nonna-new-york-city.19932.r,310 W 38th St,NY,NY
Fresh & Co. (57th Street),http://www.seamless.com/food-delivery/fresh-co-57th-street-new-york-city.4313.r,45 West 57th Street,NY,NY
Fresh & Co. (Lexington Avenue),http://www.seamless.com/food-delivery/fresh-co-lexington-avenue-new-york-city.5095.r,681 Lexington Avenue,NY,NY
Fresh & Co. (Seventh Avenue),http://www.seamless.com/food-delivery/fresh-co-seventh-avenue-new-york-city.8327.r,363 Seventh Avenue,New York,NY
Garlic New York Pizza Bar,http://www.seamless.com/food-delivery/garlic-new-york-pizza-bar-new-york-city.19789.r,629 Second Avenue,NY,NY
Goodfellas LES,http://www.seamless.com/food-delivery/goodfellas-les-new-york-city.18756.r,144 Orchard Street,NY,NY
Jimmy's BurgerShack (brought to you by Brother Jimmy's),http://www.seamless.com/food-delivery/jimmys-burgershack-brought-to-you-by-brother-jimmys-new-york-city.19639.r,258 West 31st Street,NY,NY
Cosi (3rd Ave),http://www.seamless.com/food-delivery/cosi-3rd-ave-new-york-city.22451.r,685 3rd Ave.,New York,
Minar Indian Restaurant (31st St.),http://www.seamless.com/food-delivery/minar-indian-restaurant-31st-st-new-york-city.4204.r,5 West 31st Street,New York,NY
Minar Indian Restaurant (46th St.),http://www.seamless.com/food-delivery/minar-indian-restaurant-46th-st-new-york-city.4209.r,138 West 46th Street,New York City,NY
Napoli Pizza & Pasta (formerly Dolce Vita Pizzeria),http://www.seamless.com/food-delivery/napoli-pizza-pasta-formerly-dolce-vita-pizzeria-new-york-city.4823.r,152 East 110th St,New York,NY
Obao,http://www.seamless.com/food-delivery/obao-new-york-city.8064.r,222 E 53rd St,NY,NY
Pranna,http://www.seamless.com/food-delivery/pranna-new-york-city.19511.r,79 Madison Avenue,New York,NY
La Silhouette,http://www.seamless.com/food-delivery/la-silhouette-new-york-city.20021.r,362 West 53rd Street,New York,NY
Gigino at Wagner Park,http://www.seamless.com/food-delivery/gigino-at-wagner-park-new-york-city.8591.r,20 Battery Pl,New York,NY
Hunan Park,http://www.seamless.com/food-delivery/hunan-park-new-york-city.17043.r,721 Columbus Ave,New York,NY
John's of 12th Street,http://www.seamless.com/food-delivery/johns-of-12th-street-new-york-city.8500.r,302 E 12th Street,NY,NY
Rice & Beans,http://www.seamless.com/food-delivery/rice-beans-new-york-city.8557.r,744 Ninth Ave,New York,NY
Rye House,http://www.seamless.com/food-delivery/rye-house-new-york-city.4511.r,11 W. 17th St,NY,NY
Warren 77,http://www.seamless.com/food-delivery/warren-77-new-york-city.8123.r,77 Warren St,New York,NY
Aaheli,http://www.seamless.com/food-delivery/aaheli-new-york-city.7718.r,826 9th Ave,New York,NY
Zabb City,http://www.seamless.com/food-delivery/zabb-city-manhattan-consumer.10183.r,244 East 13th St.,New York,NY
Red Egg,http://www.seamless.com/food-delivery/red-egg-new-york-city.16317.r,202 Centre St.,New York,NY
AA Jing,http://www.seamless.com/food-delivery/aa-jing-new-york-city.11400.r,689 9th Ave,New York,NY
Bus Stop Cafe,http://www.seamless.com/food-delivery/bus-stop-cafe-manhattan-consumer.3713.r,597 Hudson Street,New York,NY
California Pizza Kitchen (Park Ave),http://www.seamless.com/food-delivery/california-pizza-kitchen-park-ave-ny-metro.6974.r,440 Park Avenue S.,NY,NY
Gran Piatto d Oro,http://www.seamless.com/food-delivery/gran-piatto-d-oro-new-york-city.19129.r,1429 5th Avenue,NY,NY
Sac's Place,http://www.seamless.com/food-delivery/sacs-place-queens.16684.r,2541 Broadway,Astoria,NY
Adrienne's Pizza Bar,http://www.seamless.com/food-delivery/adriennes-pizza-bar-new-york-city.4671.r,54 Stone St.,New York,NY
Brick Lane Curry House,http://www.seamless.com/food-delivery/brick-lane-curry-house-new-york-city.1628.r,99 2nd Ave.,New York,NY
Dallas BBQ (42nd St.),http://www.seamless.com/food-delivery/dallas-bbq-42nd-st-new-york-city.3861.r,241 West 42nd Street,New York,NY
Dallas BBQ (Chelsea),http://www.seamless.com/food-delivery/dallas-bbq-chelsea-new-york-city.740.r,261 8th Ave,New York,NY
Evergreen Diner,http://www.seamless.com/food-delivery/evergreen-diner-new-york-city.7531.r,145 West 47th Street,New York,NY
Kati,http://www.seamless.com/food-delivery/kati-manhattan-consumer.6764.r,347 E 14th St.,New York,NY
Nobi Sushi,http://www.seamless.com/food-delivery/nobi-sushi-new-york-city.2394.r,437 3rd Avenue,New York,NY
Weng's Palace/Thai Palace,http://www.seamless.com/food-delivery/wengs-palacethai-palace-new-york-city.7073.r,304 West 40th St,NY,NY
China Spice NYC,http://www.seamless.com/food-delivery/china-spice-nyc-new-york-city.17276.r,1588 York Ave,New York,NY
Coopers Tavern,http://www.seamless.com/food-delivery/coopers-tavern-new-york-city.5130.r,481 Eighth Ave,New York,NY
Europan Penn Station,http://www.seamless.com/food-delivery/europan-penn-station-new-york-city.4794.r,1 Penn Plaza,New York,NY
Fatty Crab (Hudson Street),http://www.seamless.com/food-delivery/fatty-crab-hudson-street-new-york-city.17457.r,643 Hudson Street,NY,NY
The Organic Grill,http://www.seamless.com/food-delivery/the-organic-grill-new-york-city.7431.r,123 1st Ave,New York,NY
V-Note,http://www.seamless.com/food-delivery/vnote-new-york-city.16455.r,1522 First Ave,New York,NY
Giorgione,http://www.seamless.com/food-delivery/giorgione-new-york-city.19455.r,307 Spring Street,New York,NY
Haru Wall St,http://www.seamless.com/food-delivery/haru-wall-st-new-york-city.9222.r,1 Wall Street Court,New York,NY
Aroma Espresso Bar (72nd St),http://www.seamless.com/food-delivery/aroma-espresso-bar-72nd-st-new-york-city.8805.r,161 W 72nd St,New York,NY
Aroma Espresso Bar (Midtown),http://www.seamless.com/food-delivery/aroma-espresso-bar-midtown-new-york-city.4547.r,205 East 42nd St,New York,NY
Rasa (Formerly known as Sushi Yawa),http://www.seamless.com/food-delivery/rasa-formerly-known-as-sushi-yawa-manhattan-consumer.8347.r,25 W 8th St.,New York,NY
Cafe Classico Glatt Kosher Restaurant,http://www.seamless.com/food-delivery/cafe-classico-glatt-kosher-restaurant-new-york-city.11.r,35 West 57th Street,New York,NY
Abboccato,http://www.seamless.com/food-delivery/abboccato-new-york-city.10576.r,136 West 55th St.,New York,NY
Baburchi's,http://www.seamless.com/food-delivery/baburchis-manhattan-consumer.9469.r,90 West 3rd St.,New York,NY
Dai Hachi Sushi,http://www.seamless.com/food-delivery/dai-hachi-sushi-new-york-city.11403.r,303 E. 56th St.,New York,NY
Crudo Restaurant,http://www.seamless.com/food-delivery/crudo-restaurant-new-york-city.16992.r,235 West 35th Street,New York,NY
International Food House,http://www.seamless.com/food-delivery/international-food-house-new-york-city.17181.r,217 Dyckman Street,New York,NY
La Corsa,http://www.seamless.com/food-delivery/la-corsa-new-york-city.17997.r,123 E. 110th Street,New York,NY
Nirvana (Lex),http://www.seamless.com/food-delivery/nirvana-lex-new-york-city.10617.r,346 Lexington Ave,New York,NY
Sushi Suki,http://www.seamless.com/food-delivery/sushi-suki-new-york-city.3505.r,1577 York Avenue,New York,NY
Texas Rotisserie & Grill (UWS),http://www.seamless.com/food-delivery/texas-rotisserie-grill-uws-new-york-city.11148.r,2581 Broadway,New York,NY
Adriatic Italian Restaurant,http://www.seamless.com/food-delivery/adriatic-italian-restaurant-new-york-city.19232.r,321 1st Avenue,New York,NY
Agora Turkish Restaurant,http://www.seamless.com/food-delivery/agora-turkish-restaurant-new-york-city.19619.r,1565 2nd Avenue,New York,NY
Amaze Restaurant,http://www.seamless.com/food-delivery/amaze-restaurant-new-york-city.19715.r,694 Third Avenue,New York,NY
Antalia Mediterranean Turkish Restaurant,http://www.seamless.com/food-delivery/antalia-mediterranean-turkish-restaurant-new-york-city.17444.r,17 W 45 Street,New York,NY
Bodrum Turkish Mediterranean Restaurant,http://www.seamless.com/food-delivery/bodrum-turkish-mediterranean-restaurant-new-york-city.4441.r,584 Amsterdam Ave,New York,NY
Cuba Restaurant,http://www.seamless.com/food-delivery/cuba-restaurant-new-york-city.16713.r,222 Thompson Street,New York,NY
Lin's Chinese Restaurant,http://www.seamless.com/food-delivery/lins-chinese-restaurant-ny-metro.18014.r,32 East 23rd St.,New York,NY
Cafe Evergreen,http://www.seamless.com/food-delivery/cafe-evergreen-new-york-city.1729.r,1367 1st Ave.,New York,NY
Calcutta Cuisine of India,http://www.seamless.com/food-delivery/calcutta-cuisine-of-india-manhattan-consumer.3828.r,324 E 6th Street,New York,NY
Sushiya,http://www.seamless.com/food-delivery/sushiya-new-york-city.7687.r,28 West 56th Street,New York,NY
David Burke at Bloomingdale's,http://www.seamless.com/food-delivery/david-burke-at-bloomingdales-new-york-city.7297.r,1000 3rd Avenue,New York,NY
Fresh Tortilla Express,http://www.seamless.com/food-delivery/fresh-tortilla-express-new-york-city.18455.r,206 Varick Street,New York,NY
Sakura of Japan,http://www.seamless.com/food-delivery/sakura-of-japan-new-york-city.71.r,819 2nd Avenue,New York,NY
Squires Diner,http://www.seamless.com/food-delivery/squires-diner-new-york-city.9431.r,80 Beekman St.,New York,NY
The Manchester Diner,http://www.seamless.com/food-delivery/the-manchester-diner-new-york-city.20067.r,2800 Broadway,New York,NY
Cosi (Broad St),http://www.seamless.com/food-delivery/cosi-broad-st-new-york-city.6603.r,55 Broad Street,New York,NY
Bodhi Tree,http://www.seamless.com/food-delivery/bodhi-tree-manhattan-consumer.6587.r,58 3rd Ave,New York,NY
Gracie Cafe,http://www.seamless.com/food-delivery/gracie-cafe-new-york-city.3761.r,1530 York Avenue,New York,NY
Happy Family Chinese and Japanese Restaurant,http://www.seamless.com/food-delivery/happy-family-chinese-and-japanese-restaurant-new-york-city.11411.r,500 West 43rd St.,New York,NY
Dulce Vida Cafe,http://www.seamless.com/food-delivery/dulce-vida-cafe-new-york-city.18804.r,1219 Lexington Ave,New York,NY
Saffron Garden,http://www.seamless.com/food-delivery/saffron-garden-queens.19818.r,46-11 Skillman Ave,Woodside,NY
Fusha,http://www.seamless.com/food-delivery/fusha-new-york-city.1721.r,1065 1st Avenue,New York,NY
Qi (43rd St),http://www.seamless.com/food-delivery/qi-43rd-st-new-york-city.19013.r,675 8th Avenue,New York,NY
SUteiShi,http://www.seamless.com/food-delivery/suteishi-new-york-city.3711.r,24 Peck Slip,New York,NY
