name,href,address
Chinatown Restaurant,https://www.delivery.com/cities/nyc/categories/restaurant/chinatown-restaurant-10128,1650 3rd Ave (92nd & 93rd Sst.)
Oriental Cafe Chinese & Japanese Cuisine,https://www.delivery.com/cities/nyc/categories/restaurant/oriental-cafe-10028,1580 1st Ave (Between 82nd & 83rd St.)
Chirping Chicken,https://www.delivery.com/cities/nyc/categories/restaurant/chirping-chicken-10021,1219 1st Ave (Corner of 66th St.)
Mansion Restaurant,https://www.delivery.com/cities/nyc/categories/restaurant/mansion-restaurant,1634 York Ave (86th st)
Pita Grill,https://www.delivery.com/cities/nyc/categories/restaurant/pita-grill-1st-ave,1570 1st Ave (11th & 12th St.)
China Spice NYC,https://www.delivery.com/cities/nyc/categories/restaurant/china-spice-nyc,1588 York Ave (Between 83rd and 84th Street)
Aba Asian Fusion Cuisine,https://www.delivery.com/cities/nyc/categories/restaurant/aba-asian-fusion-cuisine,1588 York Ave (Between E 84th and E 83rd St)
Pastafina,https://www.delivery.com/cities/nyc/categories/restaurant/pastafina,876 Lexington Ave (Between 65th & 66th Streets)
Uptown Cottage,https://www.delivery.com/cities/nyc/categories/restaurant/uptown-cottage,1748 2nd Ave (East 91st Street)
Texas Rotisserie,https://www.delivery.com/cities/nyc/categories/restaurant/texas-rotisserie-1st-ave,1315 1st Ave (Between 70th and 71st St.)
Ichiro Japanese Restaurant,https://www.delivery.com/cities/nyc/categories/restaurant/ichiro-japanese-restaurant,1694 2nd Ave (Between 87th & 88th St.)
Aki Sushi,https://www.delivery.com/cities/nyc/categories/restaurant/aki-sushi-york-ave,468 E 81st St (York Ave)
Gracie's Corner Diner,https://www.delivery.com/cities/nyc/categories/restaurant/gracies-corner-diner,352 E 86th St (Corner of Ave. / 86th)
Hot & Crusty,https://www.delivery.com/cities/nyc/categories/restaurant/hot-crusty-lexington-ave,1276 Lexington Ave (Between 85th & 86th St.)
Two Boots Upper East Side,https://www.delivery.com/cities/nyc/categories/restaurant/two-boots-upper-east-side,1617 2nd Ave (Corner of East 84th St.)
Midnight Express,https://www.delivery.com/cities/nyc/categories/restaurant/midnight-express,1715 2nd Ave (Between 88th & 89th)
Mamma Mia Pizza,https://www.delivery.com/cities/nyc/categories/restaurant/dreamers-pizza-ii,1760 1st Ave (91st & 92nd)
OM Real Indian Food,https://www.delivery.com/cities/nyc/categories/restaurant/om-real-indian-food,1593 2nd Ave (Between 82nd and 83rd Street)
Fat Sal's Pizza,https://www.delivery.com/cities/nyc/categories/restaurant/fat-sals-pizza-2nd-ave,1603 2nd Ave (E 83rd St.)
Delizia Ristorante & Pizza,https://www.delivery.com/cities/nyc/categories/restaurant/delizia-ristorante-pizza,1374 1st Ave (73rd & 74th st)
Stargate Diner,https://www.delivery.com/cities/nyc/categories/restaurant/stargate-diner,1580 3rd Ave (88th & 89th St.)
Yummy Sushi,https://www.delivery.com/cities/nyc/categories/restaurant/yummy-sushi-1st-ave,1758 1st Ave (1st ave & 91st Street.)
Atami Japanese Fusion,https://www.delivery.com/cities/nyc/categories/restaurant/atami-japanese-fusion,1167 2nd Ave (E 61st & E 62nd St.)
Ritz Diner,https://www.delivery.com/cities/nyc/categories/restaurant/ritz-diner,1133 1st Ave (Corner of 62nd Street)
China Fun,https://www.delivery.com/cities/nyc/categories/restaurant/china-fun-2nd-ave,1221 2nd Ave (64th St)
Spice Thai,https://www.delivery.com/cities/nyc/categories/restaurant/spice-thai-1st-ave,1479 1st Ave (Between E 77th and E 78th St)
3 Star Diner,https://www.delivery.com/cities/nyc/categories/restaurant/3-star-diner,1462 1st Ave (Corner of 76th Street)
America's Burgers & Wraps,https://www.delivery.com/cities/nyc/categories/restaurant/americas-burgers-wraps,1159 3rd Ave (Between 67th & 68th Streets)
Six Happiness,https://www.delivery.com/cities/nyc/categories/restaurant/six-happiness-2nd-ave,1413 2nd Ave (Between East 73rd St & East 74th St)
Hunan Delight,https://www.delivery.com/cities/nyc/categories/restaurant/hunan-delight,1467 YORK AVE (Corner of York Ave. & 78th St.)
Sunny Chinese Cuisine,https://www.delivery.com/cities/nyc/categories/restaurant/sunny-chinese-cuisine,1580 1st Ave (Between 80th & 81st Street)
Hanabi,https://www.delivery.com/cities/nyc/categories/restaurant/hanabi,1450 2nd Ave (Between 75th Street & 76th Street)
Bamboo Sushi,https://www.delivery.com/cities/nyc/categories/restaurant/bamboo-sushi,1280 1st Ave (Between 68th and 69th Streets)
Tang's Garden,https://www.delivery.com/cities/nyc/categories/restaurant/tangs-garden,1328 3rd Ave (Corner of 3rd and 76th Street)
Green Kitchen,https://www.delivery.com/cities/nyc/categories/restaurant/green-kitchen,1477 1st Ave (Corner of 77th St. & 1st Ave.)
Andaz,https://www.delivery.com/cities/nyc/categories/restaurant/andaz,1378 1st Ave (Between 73rd & 74th St)
McDonald's (#14780),https://www.delivery.com/cities/nyc/categories/restaurant/mcdonalds-14780-,1286 1st Ave (Between E 69th St & E 70th St)
Cavatappo Grill,https://www.delivery.com/cities/nyc/categories/restaurant/cavatappo-grill,1712 1st Ave (Between East 88th St & East 89th St)
Good Health Cafe,https://www.delivery.com/cities/nyc/categories/restaurant/good-health-cafe,1435 1st Ave (Corner of 75th Street)
La Mia Pizza,https://www.delivery.com/cities/nyc/categories/restaurant/la-mia-pizza,1488 1st Ave (77th & 78th Streets)
