name,href,address
Mansion Restaurant,http://www.seamless.com/food-delivery/mansion-restaurant-new-york-city.17132.r,1634 York Ave.
Eighteen Restaurant,http://www.seamless.com/food-delivery/eighteen-restaurant-new-york-city.7274.r,240 East 81st Street
Effy's Cafe,http://www.seamless.com/food-delivery/effys-cafe-new-york-city.7271.r,1638 3rd Ave
V-Note,http://www.seamless.com/food-delivery/vnote-new-york-city.16455.r,1522 First Ave
Agora Turkish Restaurant,http://www.seamless.com/food-delivery/agora-turkish-restaurant-new-york-city.19619.r,1565 2nd Avenue
Gracie Cafe,http://www.seamless.com/food-delivery/gracie-cafe-new-york-city.3761.r,1530 York Avenue
Dulce Vida Cafe,http://www.seamless.com/food-delivery/dulce-vida-cafe-new-york-city.18804.r,1219 Lexington Ave
Spice Noodle,http://www.seamless.com/food-delivery/spice-noodle-new-york-city.3409.r,1509 Lexington Ave
Yummy Sushi (1st Ave),http://www.seamless.com/food-delivery/yummy-sushi-1st-ave-new-york-city.16878.r,1758 First Avenue
Gracie Mews Diner,http://www.seamless.com/food-delivery/gracie-mews-diner-new-york-city.7669.r,1550 First Avenue
Ayogu (1st Ave),http://www.seamless.com/food-delivery/ayogu-1st-ave-new-york-city.1856.r,1164 1st Avenue
Szechuan Gourmet (2nd Ave),http://www.seamless.com/food-delivery/szechuan-gourmet-2nd-ave-manhattan-consumer.6972.r,1395 2nd Ave
EJ's Luncheonette (3rd Ave),http://www.seamless.com/food-delivery/ejs-luncheonette-3rd-ave-new-york-city.2033.r,1271 3rd Avenue
Neely's Barbecue Parlor,http://www.seamless.com/food-delivery/neelys-barbecue-parlor-new-york-city.19156.r,1125 1st Avenue
Osha Thai Kitchen,http://www.seamless.com/food-delivery/osha-thai-kitchen-manhattan-consumer.8249.r,1711 2nd Ave
Ravagh Persian Grill (1st Ave),http://www.seamless.com/food-delivery/ravagh-persian-grill-1st-ave-new-york-city.2534.r,1135 1st Ave
Highlands Cafe Restaurant,http://www.seamless.com/food-delivery/highlands-cafe-restaurant-new-york-city.17036.r,1505 3rd Avenue
OM Indian Restaurant,http://www.seamless.com/food-delivery/om-indian-restaurant-new-york-city.18134.r,1593 Second Avenue
Le Bistro D'a Cote,http://www.seamless.com/food-delivery/le-bistro-da-cote-new-york-city.17530.r,1590 First Avenue
Luna Rossa Ristorante,http://www.seamless.com/food-delivery/luna-rossa-ristorante-new-york-city.17917.r,347 East 85 Street
Ooki Sushi (3rd Ave),http://www.seamless.com/food-delivery/ooki-sushi-3rd-ave-new-york-city.18680.r,1575 3rd Ave
Delizia Ristorante,http://www.seamless.com/food-delivery/delizia-ristorante-manhattan-consumer.9850.r,1374 1st Ave.
Ithaka,http://www.seamless.com/food-delivery/ithaka-new-york-city.6716.r,308 E 86 St
