name,href,address
Cuba Restaurant,http://www.seamless.com/food-delivery/cuba-restaurant-new-york-city.16713.r,222 Thompson Street
Potjanee Thai Restaurant,http://www.seamless.com/food-delivery/potjanee-thai-restaurant-new-york-city.18700.r,48 Carmine St
AOC,http://www.seamless.com/food-delivery/aoc-new-york-city.17101.r,314 Bleecker Street
Snack Taverna,http://www.seamless.com/food-delivery/snack-taverna-manhattan-consumer.6330.r,63 Bedford St.
Bagels On The Square,http://www.seamless.com/food-delivery/bagels-on-the-square-new-york-city.18545.r,7 Carmine Street
Favela Cubana,http://www.seamless.com/food-delivery/favela-cubana-new-york-city.18837.r,543 Laguardia Place
Miyabi Sushi,http://www.seamless.com/food-delivery/miyabi-sushi-new-york-city.2231.r,118 W 3rd Street
Moustache (West Village),http://www.seamless.com/food-delivery/moustache-west-village-new-york-city.17011.r,90 Bedford Street
La Carbonara,http://www.seamless.com/food-delivery/la-carbonara-new-york-city.3079.r,202 West 14th Street
East Palace,http://www.seamless.com/food-delivery/east-palace-new-york-city.11404.r,819 2nd Ave
QI Restaurant,http://www.seamless.com/food-delivery/qi-restaurant-new-york-city.7509.r,31 W. 14th Street
Good Restaurant,http://www.seamless.com/food-delivery/good-restaurant-new-york-city.2179.r,89 Greenwich Avenue
Edo Sushi & Grill,http://www.seamless.com/food-delivery/edo-sushi-grill-new-york-city.1979.r,9 East 17th Street
Artichoke Pizza,http://www.seamless.com/food-delivery/artichoke-pizza-new-york-city.17235.r,114 10th Ave
Coppelia,http://www.seamless.com/food-delivery/coppelia-new-york-city.18242.r,207 W 14th St
Amelia's Diner,http://www.seamless.com/food-delivery/amelias-diner-new-york-city.12704.r,110 Varick St.
Rye House,http://www.seamless.com/food-delivery/rye-house-new-york-city.4511.r,11 W. 17th St
Getting Hungry (Varick St),http://www.seamless.com/food-delivery/getting-hungry-varick-st-new-york-city.34694.r,225 Varick Street
Thelewala (MacDougal St),http://www.seamless.com/food-delivery/thelewala-macdougal-st-new-york-city.18288.r,112 Macdougal St
Villaggio Bistro Grill,http://www.seamless.com/food-delivery/villaggio-bistro-grill-new-york-city.6682.r,93 Macdougal Street
Red Egg,http://www.seamless.com/food-delivery/red-egg-new-york-city.16317.r,202 Centre St.
Bus Stop Cafe,http://www.seamless.com/food-delivery/bus-stop-cafe-manhattan-consumer.3713.r,597 Hudson Street
California Pizza Kitchen (Park Ave),http://www.seamless.com/food-delivery/california-pizza-kitchen-park-ave-ny-metro.6974.r,440 Park Avenue S.
Garage Restaurant & Cafe,http://www.seamless.com/food-delivery/garage-restaurant-cafe-manhattan-consumer.11553.r,99 7th Ave S.
Havana Alma de Cuba,http://www.seamless.com/food-delivery/havana-alma-de-cuba-new-york-city.3633.r,94 Christopher Street
Brick Lane Curry House,http://www.seamless.com/food-delivery/brick-lane-curry-house-new-york-city.1628.r,99 2nd Ave.
Dallas BBQ (Chelsea),http://www.seamless.com/food-delivery/dallas-bbq-chelsea-new-york-city.740.r,261 8th Ave
Nobi Sushi,http://www.seamless.com/food-delivery/nobi-sushi-new-york-city.2394.r,437 3rd Avenue
Fatty Crab (Hudson Street),http://www.seamless.com/food-delivery/fatty-crab-hudson-street-new-york-city.17457.r,643 Hudson Street
The Organic Grill,http://www.seamless.com/food-delivery/the-organic-grill-new-york-city.7431.r,123 1st Ave
Bamboleo Mexican Cafe,http://www.seamless.com/food-delivery/bamboleo-mexican-cafe-manhattan-consumer.9308.r,170 Bleecker St.
OrganiKa,http://www.seamless.com/food-delivery/organika-new-york-city.6439.r,89 7th Ave S
Rasa (Formerly known as Sushi Yawa),http://www.seamless.com/food-delivery/rasa-formerly-known-as-sushi-yawa-manhattan-consumer.8347.r,25 W 8th St.
Baburchi's,http://www.seamless.com/food-delivery/baburchis-manhattan-consumer.9469.r,90 West 3rd St.
Soho Sushi,http://www.seamless.com/food-delivery/soho-sushi-new-york-city.9961.r,231 Sullivan St.
Adriatic Italian Restaurant,http://www.seamless.com/food-delivery/adriatic-italian-restaurant-new-york-city.19232.r,321 1st Avenue
Lin's Chinese Restaurant,http://www.seamless.com/food-delivery/lins-chinese-restaurant-ny-metro.18014.r,32 East 23rd St.
Fresh Tortilla Express,http://www.seamless.com/food-delivery/fresh-tortilla-express-new-york-city.18455.r,206 Varick Street
Sakura of Japan,http://www.seamless.com/food-delivery/sakura-of-japan-new-york-city.71.r,819 2nd Avenue
Stella's Pizza,http://www.seamless.com/food-delivery/stellas-pizza-manhattan-consumer.3638.r,110 Ninth Ave
Olympic Pita,http://www.seamless.com/food-delivery/olympic-pita-new-york-city.3699.r,58 West 38th Street
Brother Jimmy's Union Square,http://www.seamless.com/food-delivery/brother-jimmys-union-square-new-york-city.19275.r,116 E 16th Street
Chef 28,http://www.seamless.com/food-delivery/chef-28-new-york-city.17477.r,29 E 28th St
Monster Sushi (W23rd),http://www.seamless.com/food-delivery/monster-sushi-w23rd-new-york-city.2140.r,158 W 23rd Street
Pho Sure,http://www.seamless.com/food-delivery/pho-sure-manhattan-consumer.4754.r,120 Christopher Street
Saigon Market,http://www.seamless.com/food-delivery/saigon-market-new-york-city.18760.r,93 University Place
Vin et Fleurs,http://www.seamless.com/food-delivery/vin-et-fleurs-new-york-city.18017.r,69 Thompson Street
Buddha Bodai One Vegetarian,http://www.seamless.com/food-delivery/buddha-bodai-one-vegetarian-new-york-city.3197.r,5 Mott Street
The Path Cafe,http://www.seamless.com/food-delivery/the-path-cafe-manhattan-consumer.5522.r,131 Christopher St.
Express Manna Kitchen,http://www.seamless.com/food-delivery/express-manna-kitchen-new-york-city.9425.r,28 East 18th St.
Abeca Sushi,http://www.seamless.com/food-delivery/abeca-sushi-new-york-city.20180.r,121 E 27th Street
Ablue Chinese Restaurant (Irving Pl),http://www.seamless.com/food-delivery/ablue-chinese-restaurant-irving-pl-manhattan-consumer.33531.r,31 Irving Place
Abumi,http://www.seamless.com/food-delivery/abumi-new-york-city.20893.r,209 East 26th Street
Accord Asian Cuisine,http://www.seamless.com/food-delivery/accord-asian-cuisine-new-york-city.20415.r,1 East Broadway
Adriatic Italian Restaurant,http://www.seamless.com/food-delivery/adriatic-italian-restaurant-new-york-city.19232.r,321 1st Avenue
Agave,http://www.seamless.com/food-delivery/agave-new-york-city.2239.r,140 7th Ave South
Aja 43 (Greenwich St),http://www.seamless.com/food-delivery/aja-43-greenwich-st-new-york-city.40445.r,690 Greenwich Street
Aja Asian Fusion (48th St),http://www.seamless.com/food-delivery/aja-asian-fusion-48th-st-new-york-city.36429.r,246 E 48th Street
Aji 18 Sushi,http://www.seamless.com/food-delivery/aji-18-sushi-new-york-city.32115.r,208 B 3rd Avenue
Aji Sushi,http://www.seamless.com/food-delivery/aji-sushi-new-york-city.1643.r,519 Third Avenue
AKA Sushi,http://www.seamless.com/food-delivery/aka-sushi-new-york-city.30802.r,24 8th Avenue
Aki Sushi 2,http://www.seamless.com/food-delivery/aki-sushi-2-new-york-city.2419.r,366 West 52 Street
Aki Sushi West Catering Menu,http://www.seamless.com/food-delivery/aki-sushi-west-catering-menu-new-york-city.12075.r,128 36th Street
Akimoto Sushi,http://www.seamless.com/food-delivery/akimoto-sushi-new-york-city.25865.r,187 Church Street
Akina Sushi,http://www.seamless.com/food-delivery/akina-sushi-new-york-city.4049.r,424 East 14th St.
Akira Japanese Cuisine,http://www.seamless.com/food-delivery/akira-japanese-cuisine-new-york-city.27524.r,152-154 7th Avenue South
